customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5681-Alpha-31,Female,1,No,Yes,40,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),111.28,4451.2,Yes
9890-Beta-32,Female,0,Yes,No,29,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),45.02,1305.58,No
9818-Gamma-33,Male,1,Yes,No,54,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,73.34,3960.36,Yes
9751-Alpha-34,Female,0,Yes,No,61,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),78.62,4795.82,Yes
6529-Beta-35,Female,1,No,Yes,32,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,76.78,2456.96,No
4266-Alpha-36,Male,0,Yes,No,20,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.31,1886.2,No
1420-Beta-37,Female,1,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.74,3192.42,Yes
1207-Beta-38,Female,0,No,No,23,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),68.51,1575.73,No
6280-Alpha-39,Male,1,No,Yes,17,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,53.48,909.16,No
6813-Beta-40,Female,1,No,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),47.81,3203.27,No
9004-Gamma-41,Male,1,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),98.95,3562.2,No
7971-Gamma-42,Female,1,No,No,39,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,83.21,3245.19,No
4545-Gamma-43,Female,1,No,Yes,31,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,107.85,3343.35,No
1893-Gamma-44,Female,0,No,Yes,51,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.9,5043.9,No
2869-Alpha-45,Female,1,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),116.43,5472.21,No
8253-Beta-46,Female,1,Yes,Yes,36,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,104.2,3751.2,No
7693-Beta-47,Female,1,Yes,Yes,29,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,57.12,1656.48,No
9922-Alpha-48,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),90.81,2451.87,No
9199-Gamma-49,Female,1,Yes,Yes,23,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,87.93,2022.39,Yes
3870-Beta-50,Female,1,Yes,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.63,1040.39,Yes
6700-Beta-51,Female,1,Yes,Yes,28,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),68.28,1911.84,No
5135-Beta-52,Male,1,Yes,No,42,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),82.63,3470.46,Yes
9998-Alpha-53,Female,1,No,Yes,61,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),96.2,5868.2,No
2924-Gamma-54,Male,1,No,No,21,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,70.61,1482.81,No
2143-Beta-55,Female,1,No,Yes,43,No,No phone service,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),42.31,1819.33,No
8460-Beta-56,Male,0,No,Yes,21,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,53.26,1118.46,No
3068-Gamma-57,Female,0,No,Yes,44,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),64.5,2838.0,No
7512-Gamma-58,Male,1,No,No,60,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,76.35,4581.0,No
2646-Beta-59,Male,1,Yes,Yes,17,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.76,1304.92,Yes
3950-Alpha-60,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),50.37,1460.73,Yes
5712-Gamma-61,Male,0,No,No,13,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,69.69,905.97,Yes
4886-Beta-62,Female,1,No,Yes,12,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,75.64,907.68,Yes
4115-Gamma-63,Female,0,Yes,Yes,40,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),76.37,3054.8,No
3877-Alpha-64,Male,1,No,Yes,17,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,53.04,901.68,Yes
7511-Gamma-65,Female,0,No,Yes,8,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,63.32,506.56,Yes
8724-Alpha-66,Female,0,Yes,No,38,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,62.7,2382.6,No
2592-Alpha-67,Male,1,No,No,2,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),47.75,95.5,No
4559-Beta-68,Female,0,No,Yes,53,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,81.74,4332.22,Yes
4475-Gamma-69,Male,0,No,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,45.09,991.98,No
4538-Alpha-70,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,120.18,2403.6,No
6304-Alpha-71,Male,1,Yes,Yes,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.07,507.61,No
8802-Beta-72,Female,0,No,Yes,34,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),68.35,2323.9,No
8267-Alpha-73,Male,1,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),36.43,983.61,No
9692-Beta-74,Female,1,Yes,Yes,56,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.92,4587.52,Yes
6120-Beta-75,Female,1,No,Yes,64,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,88.35,5654.4,No
1982-Gamma-76,Female,0,No,No,54,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.26,4604.04,Yes
4674-Alpha-77,Female,1,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),96.13,2114.86,No
1100-Alpha-78,Male,1,Yes,Yes,50,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),84.59,4229.5,Yes
6314-Gamma-79,Male,0,Yes,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),46.38,2179.86,No
7947-Beta-80,Female,1,No,Yes,51,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.51,4565.01,Yes
1897-Alpha-81,Male,1,Yes,Yes,27,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,67.81,1830.87,No
7229-Gamma-82,Male,1,Yes,No,8,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),88.61,708.88,Yes
2887-Beta-83,Male,1,Yes,No,29,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),71.54,2074.66,No
6083-Gamma-84,Female,0,No,Yes,55,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.36,5299.8,Yes
4232-Alpha-85,Male,0,Yes,No,31,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),75.96,2354.76,Yes
5961-Beta-86,Male,1,Yes,No,5,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.14,315.7,Yes
8581-Gamma-87,Male,1,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.7,728.9,Yes
8381-Alpha-88,Female,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,36.27,1523.34,No
6962-Beta-89,Female,1,No,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.44,3074.96,Yes
2335-Gamma-90,Male,1,No,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,101.58,5079.0,Yes
6940-Beta-91,Male,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,121.7,6936.9,No
7172-Alpha-92,Male,0,Yes,No,44,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),72.71,3199.24,Yes
8684-Alpha-93,Female,1,No,No,59,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),62.1,3663.9,Yes
2680-Gamma-94,Male,1,Yes,Yes,39,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,78.46,3059.94,No
7797-Alpha-95,Female,1,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,35.43,2480.1,No
6221-Alpha-96,Female,0,Yes,Yes,16,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),65.79,1052.64,No
4533-Alpha-97,Female,0,No,Yes,23,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.67,1487.41,No
9782-Alpha-98,Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),39.48,2250.36,Yes
4068-Gamma-99,Male,1,Yes,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,16.84,976.72,Yes
7338-Beta-100,Female,0,No,Yes,34,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,86.76,2949.84,No
8612-Gamma-101,Female,0,Yes,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),17.52,420.48,No
4302-Alpha-102,Male,0,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.74,1105.44,No
1599-Gamma-103,Male,1,No,Yes,40,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),44.07,1762.8,No
4060-Beta-104,Female,1,No,Yes,10,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.22,802.2,No
5843-Beta-105,Female,1,Yes,No,24,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),53.62,1286.88,No
6952-Gamma-106,Male,0,Yes,No,39,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),84.55,3297.45,No
7077-Beta-107,Female,0,Yes,No,40,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),67.1,2684.0,Yes
2929-Beta-108,Female,1,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,66.84,1671.0,No
6236-Gamma-109,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,123.49,1481.88,No
6912-Gamma-110,Female,1,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,99.49,1392.86,No
8372-Beta-111,Female,0,Yes,Yes,31,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,74.11,2297.41,Yes
6669-Gamma-112,Female,0,No,Yes,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.36,1119.8,No
9740-Alpha-113,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),91.38,3289.68,Yes
5949-Beta-114,Male,1,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,100.46,1908.74,No
6121-Gamma-115,Female,1,No,Yes,65,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,58.41,3796.65,No
3308-Alpha-116,Male,1,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),100.07,5503.85,No
9148-Alpha-117,Male,1,No,Yes,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,65.56,1048.96,Yes
8060-Alpha-118,Female,1,No,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),98.72,2270.56,No
2946-Alpha-119,Male,1,No,No,51,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.58,4772.58,Yes
8761-Gamma-120,Female,0,Yes,No,52,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,42.19,2193.88,No
7035-Beta-121,Male,1,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.66,1082.28,No
1841-Gamma-122,Female,0,No,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,46.47,929.4,No
1310-Beta-123,Female,1,Yes,No,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.18,2143.14,Yes
3837-Beta-124,Female,1,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),102.7,6162.0,Yes
8861-Beta-125,Female,1,Yes,No,18,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),59.43,1069.74,No
5201-Gamma-126,Female,0,Yes,No,40,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.26,3970.4,No
2641-Beta-127,Female,1,Yes,Yes,32,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,72.31,2313.92,Yes
2465-Gamma-128,Male,0,Yes,No,49,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,92.34,4524.66,No
6489-Beta-129,Female,1,Yes,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.47,564.63,Yes
6417-Alpha-130,Female,1,Yes,Yes,45,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),68.64,3088.8,Yes
2562-Alpha-131,Male,1,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,37.13,2450.58,No
8319-Beta-132,Female,1,Yes,No,24,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),83.12,1994.88,No
2923-Gamma-133,Female,1,Yes,Yes,28,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,94.67,2650.76,Yes
9609-Beta-134,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),107.16,4929.36,No
1911-Beta-135,Male,1,No,Yes,58,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,86.14,4996.12,Yes
7941-Beta-136,Male,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),88.64,3102.4,No
7154-Alpha-137,Male,1,Yes,Yes,54,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),81.85,4419.9,Yes
4762-Alpha-138,Female,1,Yes,No,55,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,5574.25,No
8314-Gamma-139,Male,0,Yes,No,3,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),69.1,207.3,Yes
4881-Beta-140,Male,0,No,No,54,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),78.67,4248.18,Yes
7821-Beta-141,Male,1,No,Yes,15,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),82.69,1240.35,Yes
9683-Alpha-142,Female,0,No,Yes,42,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),69.65,2925.3,No
1647-Alpha-143,Male,0,No,Yes,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,17.18,498.22,No
4470-Alpha-144,Male,1,Yes,Yes,63,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),41.95,2642.85,No
6892-Gamma-145,Female,1,Yes,No,23,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,82.1,1888.3,No
5272-Gamma-146,Female,1,Yes,Yes,35,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),47.74,1670.9,No
8550-Alpha-147,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,120.4,1926.4,Yes
3474-Alpha-148,Male,1,No,Yes,27,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),87.9,2373.3,Yes
1280-Gamma-149,Female,0,Yes,Yes,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),85.01,2550.3,No
8520-Gamma-150,Male,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),48.34,1885.26,Yes
7179-Gamma-151,Female,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),104.77,1990.63,No
1762-Alpha-152,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),47.4,426.6,Yes
2260-Beta-153,Male,0,No,No,42,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,82.39,3460.38,Yes
6580-Gamma-154,Female,1,Yes,No,13,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,72.73,945.49,Yes
5839-Alpha-155,Male,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),63.35,1583.75,No
8286-Beta-156,Female,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),40.08,2645.28,No
2692-Alpha-157,Male,1,Yes,No,19,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.97,1196.43,No
3777-Alpha-158,Female,1,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),91.87,5328.46,Yes
5123-Alpha-159,Female,0,No,Yes,37,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),83.98,3107.26,No
3230-Beta-160,Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),83.86,3018.96,No
6980-Alpha-161,Male,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),93.91,2441.66,No
3525-Gamma-162,Female,1,Yes,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),17.65,388.3,No
9907-Alpha-163,Female,0,Yes,Yes,54,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.28,4227.12,Yes
5239-Alpha-164,Male,1,No,No,60,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,61.53,3691.8,Yes
2901-Gamma-165,Male,1,No,No,37,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),72.6,2686.2,Yes
